A	CreditItems	CreditContents																				
A	Title	Annie Laurie																				
A	Music by	Scotch Tune; John Scott																				
A	Music source	https://www.cpdl.org/wiki/images/f/fe/21_Annie_Laurie.pdf																				
A	Music license	2008 Creative Commons Public Domain Dedication(USA).																				
A	Music license URI	https://creativecommons.org/publicdomain/list/																				
A	Music change	None																				
A	Lyrics by	Willianm Douglass; John Scott																				
A	Lyrics source	https://www.cpdl.org/wiki/images/f/fe/21_Annie_Laurie.pdf																				
A	Lyrics license	2008 Creative Commons Public Domain Dedication(USA).																				
A	Lyrics license URI	https://creativecommons.org/publicdomain/list/																				
A	Lyrics change	None																				
A	Disclaimer	No warranties are given.																				
B	NoteID	Fingering	Memo	Left	Right	Lyrics1	Lyrics2	Lyrics3	Lyrics4	Lyrics5		1				1	2	3	4	5		
B	1				mp	Max-					1	"Maxwell ton's braes are bonnie,"				Max-	Her	Like				
B	2											"Where early fa's the dew,"										
B	3					well-						"And it's there that Annie Laurie,"										
B	4											Gave me her promise true.										
B	5											"Gave me her promise true,"				well-	brow	dew				
B	6					ton's						"Which ne'er forgot will be,"				ton's	is	on				
B	7											And for bonnie Annie Laurie						the				
B	8					breas						I'd lay me doon and dee.				breas	like	go-				
B	9																					
B	10					are						2										
B	11											"Her brow is like the snowdrift,"				are	the	wan				
B	12					bon-						"Her throat is like the swan,"										
B	13											Her face it is the fairest That e'er the sun shone on.				bon-	snow-	ly-				
B	14					nie						"That e'er the sun shone on,"										
B	15											"And dark blue is her e'e,"				nie	drift	ing				
B	16					Where						And for bonnie Annie Laurie										
B	17											I'd lay me doon and dee.				Where	Her	Is				
B	18																					
B	19					ear-						3				ear-	throat	the				
B	20											"Like dew on the gowan lying,"										
B	21					ly						"Is the fa' o' her fairy feet,"				ly	is	fa' o'				
B	22											"And like winds in summer sighing,"										
B	23					fa's						Her voice is soft and sweet.				fa's	like	her				
B	24											"Her voice is soft and sweet,"										
B	25					the						"And she's a' the world to me,"				the	the	fairy				
B	26											And for bonnie Annie Laurie										
B	27					dew						I'd lay me doon and dee.				dew	swan	feet				
B	28																					
B	29					And						https://www.cpdl.org/wiki/index.php/Annie_Laurie_(Alicia_Scott)				And	Her	And				
B	30											CPDL										
B	31					it's										it's		like				
B	32											https://www.cpdl.org/wiki/images/f/fe/21_Annie_Laurie.pdf										
B	33					there						Douglas of Fingland				there	face	winds				
B	34					that						Scotch Tune				that	it	in				
B	35											CC PD										
B	36					An-										An-	is	summ-				
B	37					nie										nie	the	er				
B	38																					
B	39					Lau-										Lau-	fair-	sigh-				
B	40																					
B	41					rie										rie	est	ing				
B	42																					
B	43					Gave										Gave	That	Her				
B	44																					
B	45					me										me	e'er	voice				
B	46																					
B	47					her										her	the	is				
B	48																					
B	49					prom-										prom-	sun	soft				
B	50																					
B	51					ise										ise	shone	and				
B	52					true.										true.	on.	sweet.				
B	53																					
B	54				mf	Gave										Gave	That	Her				
B	55																					
B	56					me										me	e'er	voice				
B	57																					
B	58					her										her	the	is				
B	59																					
B	60					prom-										prom-	sun	soft				
B	61					ise										ise	shone	and				
B	62																					
B	63					true.										true.	on	sweet.				
B	64																					
B	65					Which										Which	And	And				
B	66																					
B	67					ne'er										ne'er	dark	she's				
B	68																					
B	69					for-										for-	blue	a' the				
B	70																					
B	71					get										get	is	world				
B	72																					
B	73					will										will	her	to				
B	74																					
B	75					be										be	e'e	me				
B	76																					
B	77					And										And	And	And				
B	78																					
B	79					for										for	for	for				
B	80																					
B	81					bon-										bon-	bon-	bon-				
B	82																					
B	83					nie										nie	nie	nie				
B	84																					
B	85					An-										An-	An-	An-				
B	86																					
B	87																					
B	88					ni-										ni-	ni-	ni-				
B	89					e										e	e	e				
B	90																					
B	91				decresc.	Lau-										Lau-	Lau-	Lau-				
B	92				mp	rie										rie	rie	rie				
B	93																					
B	94					I'd										I'd	I'd	I'd				
B	95																					
B	96																					
B	97																					
B	98				cresc.	la-										la-	la-	la-				
B	99																					
B	100					y										y	y	y				
B	101					me										me	me	me				
B	102																					
B	103				decresc.	doon										doon	doon	doon				
B	104																					
B	105					and										and	and	and				
B	106					dee.										dee.	dee.	dee.				
B	107				mp	Her																
B	108										2											
B	109					brow																
B	110																					
B	111																					
B	112					is																
B	113																					
B	114					like																
B	115																					
B	116					the																
B	117																					
B	118					snow-																
B	119																					
B	120					drift																
B	121																					
B	122					Her																
B	123																					
B	124																					
B	125					throat																
B	126																					
B	127					is																
B	128																					
B	129					like																
B	130																					
B	131					the																
B	132																					
B	133					swan																
B	134																					
B	135					Her																
B	136																					
B	137																					
B	138																					
B	139					face																
B	140					it																
B	141																					
B	142					is																
B	143					the																
B	144																					
B	145					fair-																
B	146																					
B	147					est																
B	148																					
B	149					That																
B	150																					
B	151					e'er																
B	152																					
B	153					the																
B	154																					
B	155					sun																
B	156																					
B	157					shone																
B	158					on.																
B	159																					
B	160				mf	That																
B	161																					
B	162					e'er																
B	163																					
B	164					the																
B	165																					
B	166					sun																
B	167					shone																
B	168																					
B	169					on																
B	170																					
B	171					And																
B	172																					
B	173					dark																
B	174																					
B	175					blue																
B	176																					
B	177					is																
B	178																					
B	179					her																
B	180																					
B	181					e'e																
B	182																					
B	183					And																
B	184																					
B	185					for																
B	186																					
B	187					bon-																
B	188																					
B	189					nie																
B	190																					
B	191					An-																
B	192																					
B	193																					
B	194					ni-																
B	195					e																
B	196																					
B	197				decresc.	Lau-																
B	198				mp	rie																
B	199																					
B	200					I'd																
B	201																					
B	202																					
B	203																					
B	204				cresc.	la-																
B	205																					
B	206					y																
B	207					me																
B	208																					
B	209				decresc.	doon																
B	210																					
B	211					and																
B	212					dee.																
B	213				mp	Like																
B	214																					
B	215					dew					3											
B	216																					
B	217																					
B	218					on																
B	219					the																
B	220					go-																
B	221																					
B	222					wan																
B	223																					
B	224					ly-																
B	225																					
B	226					ing																
B	227																					
B	228					Is																
B	229																					
B	230																					
B	231					the																
B	232																					
B	233					fa' o'																
B	234																					
B	235					her																
B	236																					
B	237					fairy																
B	238																					
B	239					feet																
B	240																					
B	241					And																
B	242																					
B	243					like																
B	244																					
B	245					winds																
B	246					in																
B	247																					
B	248					summ-																
B	249					er																
B	250																					
B	251					sigh-																
B	252																					
B	253					ing																
B	254																					
B	255					Her																
B	256																					
B	257					voice																
B	258																					
B	259					is																
B	260																					
B	261					soft																
B	262																					
B	263					and																
B	264					sweet.																
B	265																					
B	266				mf	Her																
B	267																					
B	268					voice																
B	269																					
B	270					is																
B	271																					
B	272					soft																
B	273					and																
B	274																					
B	275					sweet.																
B	276																					
B	277					And																
B	278																					
B	279					she's																
B	280																					
B	281					a' the																
B	282																					
B	283					world																
B	284																					
B	285					to																
B	286																					
B	287					me																
B	288																					
B	289					And																
B	290																					
B	291					for																
B	292																					
B	293					bon-																
B	294																					
B	295					nie																
B	296																					
B	297					An-																
B	298																					
B	299																					
B	300					ni-																
B	301					e																
B	302																					
B	303				decresc.	Lau-																
B	304				mp	rie																
B	305																					
B	306					I'd																
B	307																					
B	308																					
B	309																					
B	310				cresc.	la-																
B	311																					
B	312					y																
B	313					me																
B	314																					
B	315				decresc.	doon																
B	316																					
B	317					and																
B	318					dee.																
B	319																					
B	320																					
B	321																					