A	CreditItems	CreditContents	NoteID	Fingering	Memo	Left	Right	Lyrics1	Lyrics2	Lyrics3	Lyrics4	Lyrics5		1	2	3
A	Title	Loch Lomond SATB														
A	Music by	Old Scotch Song; Edited by Adriano Secco														
A	Music source	http://www.adrianoseccomusic.it/arrang/SATB/lochlomond.pdf														
A	Music license	2004 by Choral Public Domain Library														
A	Music license URI	https://www.cpdl.org/wiki/index.php/ChoralWiki:CPDL														
A	Music change	None														
A	Lyrics by	Old Scotch Song; Edited by Adriano Secco														
A	Lyrics source	http://www.adrianoseccomusic.it/arrang/SATB/lochlomond.pdf														
A	Lyrics license	2004 by Choral Public Domain Library														
A	Lyrics license URI	https://www.cpdl.org/wiki/index.php/ChoralWiki:CPDL														
A	Lyrics change	None														
A	Disclaimer	No warranties are given.														
B	NoteID	Fingering	Memo	Left	Right	Lyrics1	Lyrics2	Lyrics3	Lyrics4	Lyrics5		1	2	3		
B	1					B-					1	B-	T-	The		
B	2					y						y	was	-		
B	3					yon						yon	there	wee		
B	4					bon-						bon-	that	bird-		
B	5					nie						nie	we	ies		
B	6					banks						banks	part-	sing		
B	7					and						and	ed	and		
B	8					by						by	in	the		
B	9					yon						yon	yon	wild		
B	10					bon-						bon-	sha-	flo-		
B	11					nie						nie	dy	rs		
B	12					breas						breas	glen	spring		
B	13					Where						Where	On	And		
B	14					the						the	there	in		
B	15					sun						sun	steep	sun-		
B	16					shines						shines	steep	shine		
B	17															
B	18					bright						bright	side	the wat-		
B	19					on						on	o'	ers		
B	20					Loch						Loch	Ben	are		
B	21					Lo-						Lo-	Lo-	sleep-		
B	22					mond						mond	mond	in'		
B	23					Where						Where	Where	But		
B	24					me						me	in	the		
B	25					and						and	pur-	brok-		
B	26					my						my	ple	en		
B	27					true 						true 	hu-	heart		
B	28					love						love	e	it		
B	29					were						were	the	kens		
B	30					ev-						ev-	high-	na-		
B	31					er						er	land	e		
B	32					want						want	hills	se-		
B	33					to						to	we	cond		
B	34					gae						gae	view	spring		
B	35					On						On	And	Tho'		
B	36					the						the	the	the		
B	37					bon-						bon-	moon	wae-		
B	38					nie						nie		fu'		
B	39					bon-						bon-	com-	may		
B	40					nie						nie	ing	ceas		
B	41					banks						banks	out	fra-		
B	42					o'						o'	in	e		
B	43					Loch						Loch	the	their		
B	44					Lo-						Lo-	gloam-	greet-		
B	45					mond						mond	ing	in'		
B	46					Oh!						Oh!	Oh!	Oh!		
B	47					Ye'll						Ye'll	Ye'll	Ye'll		
B	48					tak'						tak'	tak'	tak'		
B	49					the						the	the	the		
B	50					high						high	high	high		
B	51					road						road	road	road		
B	52					and						and	and	and		
B	53					I'll						I'll	I'll	I'll		
B	54					tak'						tak'	tak'	tak'		
B	55					the						the	the	the		
B	56					low						low	low	low		
B	57					road						road	road	road		
B	58					an'						an'	an'	an'		
B	59					I'll						I'll	I'll	I'll		
B	60					be						be	be	be		
B	61					in						in	in	in		
B	62					Scot						Scot	Scot	Scot		
B	63					land						land	land	land		
B	64					a						a	a	a		
B	65					fore						fore	fore	fore		
B	66					ye;						ye;	ye;	ye;		
B	67					but						but	but	but		
B	68					me						me	me	me		
B	69					and						and	and	and		
B	70					my						my	my	my		
B	71					true 						true 	true 	true 		
B	72					love						love	love	love		
B	73					we'll						we'll	we'll	we'll		
B	74					nev-						nev-	nev-	nev-		
B	75					er						er	er	er		
B	76					meet						meet	meet	meet		
B	77					a-						a-	a-	a-		
B	78					gain						gain	gain	gain		
B	79					on						on	on	on		
B	80					the						the	the	the		
B	81					bon-						bon-	bon-	bon-		
B	82					nie						nie	nie	nie		
B	83					bon-						bon-	bon-	bon-		
B	84					nie						nie	nie	nie		
B	85					banks						banks	banks	banks		
B	86					o'						o'	o'	o'		
B	87					Loch						Loch	Loch	Loch		
B	88					Lo-						Lo-	Lo-	Lo-		
B	89					mond						mond	mond	mond		
B	90					T-					2					
B	91					was										
B	92					there										
B	93					that										
B	94					we										
B	95					part-										
B	96					ed										
B	97					in										
B	98					yon										
B	99					sha-										
B	100					dy										
B	101					glen										
B	102					On										
B	103					there										
B	104					steep										
B	105					steep										
B	106															
B	107					side										
B	108					o'										
B	109					Ben										
B	110					Lo-										
B	111					mond										
B	112					Where										
B	113					in										
B	114					pur-										
B	115					ple										
B	116					hu-										
B	117					e										
B	118					the										
B	119					high-										
B	120					land										
B	121					hills										
B	122					we										
B	123					view										
B	124					And										
B	125					the										
B	126					moon										
B	127															
B	128					com-										
B	129					ing										
B	130					out										
B	131					in										
B	132					the										
B	133					gloam-										
B	134					ing										
B	135					Oh!										
B	136					Ye'll										
B	137					tak'										
B	138					the										
B	139					high										
B	140					road										
B	141					and										
B	142					I'll										
B	143					tak'										
B	144					the										
B	145					low										
B	146					road										
B	147					an'										
B	148					I'll										
B	149					be										
B	150					in										
B	151					Scot										
B	152					land										
B	153					a										
B	154					fore										
B	155					ye;										
B	156					but										
B	157					me										
B	158					and										
B	159					my										
B	160					true 										
B	161					love										
B	162					we'll										
B	163					nev-										
B	164					er										
B	165					meet										
B	166					a-										
B	167					gain										
B	168					on										
B	169					the										
B	170					bon-										
B	171					nie										
B	172					bon-										
B	173					nie										
B	174					banks										
B	175					o'										
B	176					Loch										
B	177					Lo-										
B	178					mond										
B	179					The					3					
B	180					-										
B	181					wee										
B	182					bird-										
B	183					ies										
B	184					sing										
B	185					and										
B	186					the										
B	187					wild										
B	188					flo-										
B	189					rs										
B	190					spring										
B	191					And										
B	192					in										
B	193					sun-										
B	194					shine										
B	195															
B	196					the wat-										
B	197					ers										
B	198					are										
B	199					sleep-										
B	200					in'										
B	201					But										
B	202					the										
B	203					brok-										
B	204					en										
B	205					heart										
B	206					it										
B	207					kens										
B	208					na-										
B	209					e										
B	210					se-										
B	211					cond										
B	212					spring										
B	213					Tho'										
B	214					the										
B	215					wae-										
B	216					fu'										
B	217					may										
B	218					ceas										
B	219					fra-										
B	220					e										
B	221					their										
B	222					greet-										
B	223					in'										
B	224					Oh!										
B	225					Ye'll										
B	226					tak'										
B	227					the										
B	228					high										
B	229					road										
B	230					and										
B	231					I'll										
B	232					tak'										
B	233					the										
B	234					low										
B	235					road										
B	236					an'										
B	237					I'll										
B	238					be										
B	239					in										
B	240					Scot										
B	241					land										
B	242					a										
B	243					fore										
B	244					ye;										
B	245					but										
B	246					me										
B	247					and										
B	248					my										
B	249					true 										
B	250					love										
B	251					we'll										
B	252					nev-										
B	253					er										
B	254					meet										
B	255					a-										
B	256					gain										
B	257					on										
B	258					the										
B	259					bon-										
B	260					nie										
B	  					bon-										
B	262					nie										
B	263					banks										
B	264					o'										
B	265					Loch										
B	266					Lo-										
B	267					mond										
B	268						By									
B	269						yon									
B	270						bon-									
B	271						nie									
B	272						banks									
B	273						and									
B	274						by									
B	275						yon									
B	276						bon-									
B	277						nie									
B	278						breas									
B	279						Where									
B	280						the									
B	281						sun									
B	282						shines									
B	283						bright									
B	284						on									
B	285						Loch									
B	286						Lo-									
B	287															
B	288						mond									
B	289						Where									
B	290						me									
B	291						and									
B	292						my									
B	293						true 									
B	294						love									
B	295						were									
B	296						ev-									
B	297						er									
B	298						want									
B	299						to									
B	300						gae									
B	301						On									
B	302						the									
B	303						bon-									
B	304						nie									
B	305						bon-									
B	306						nie									
B	307						banks									
B	308						o'									
B	309						Loch									
B	310						Lo-									
B	311						mond									
B	312						Oh!									
B	313						Ye'll									
B	314						tak'									
B	315						the									
B	316						high									
B	317						road									
B	318						and									
B	319						I'll									
B	320						tak'									
B	321						the									
B	322						low									
B	323						road									
B	324						an'									
B	325						I'll									
B	326						be									
B	327						in									
B	328						Scot									
B	329						land									
B	330						a									
B	331						fore									
B	332															
B	333						ye;									
B	334						but									
B	335						me									
B	336						and									
B	337						my									
B	338						true 									
B	339						love									
B	340						we'll									
B	341						nev-									
B	342						er									
B	343						meet									
B	344						a-									
B	345						gain									
B	346						on									
B	347						the									
B	348						bon-									
B	349						nie									
B	350						bon-									
B	351						nie									
B	352						banks									
B	353						o'									
B	354						Loch									
B	355						Lo-									
B	356						mond									
B	357						Twas									
B	358						there									
B	359						that									
B	360						we									
B	361						part-									
B	362						ed									
B	363						in									
B	364						yon									
B	365						sha-									
B	366						dy									
B	367						glen									
B	368						On									
B	369						there									
B	370						steep									
B	371						steep									
B	372						side									
B	373						o'									
B	374						Ben									
B	375						Lo-									
B	376															
B	377						mond									
B	378						Where									
B	379						in									
B	380						pur-									
B	381						ple									
B	382						hue									
B	383															
B	384						the									
B	385						high-									
B	386						land									
B	387						hills									
B	388						we									
B	389						view									
B	390						And									
B	391						the									
B	392						moon									
B	393															
B	394						com-									
B	395						ing									
B	396						out									
B	397						in									
B	398						the									
B	399						gloam-									
B	400						ing									
B	401						Oh!									
B	402						Ye'll									
B	403						tak'									
B	404						the									
B	405						high									
B	406						road									
B	407						and									
B	408						I'll									
B	409						tak'									
B	410						the									
B	411						low									
B	412						road									
B	413						an'									
B	414						I'll									
B	415						be									
B	416						in									
B	417						Scot									
B	418						land									
B	419						a									
B	420						fore									
B	421															
B	422						ye;									
B	423						but									
B	424						me									
B	425						and									
B	426						my									
B	427						true 									
B	428						love									
B	429						we'll									
B	430						nev-									
B	431						er									
B	432						meet									
B	433						a-									
B	434						gain									
B	435						on									
B	436						the									
B	437						bon-									
B	438						nie									
B	439						bon-									
B	440						nie									
B	441						banks									
B	442						o'									
B	443						Loch									
B	444						Lo-									
B	445						mond									
B	446						The									
B	447						wee									
B	448						bird-									
B	449						ies									
B	450						sing									
B	451						and									
B	452						the									
B	453						wild									
B	454						flo-									
B	455						rs									
B	456						spring									
B	457						And									
B	458						in									
B	459						sun-									
B	460						shine									
B	461						the wat-									
B	462						ers									
B	463						are									
B	464						sleep-									
B	465															
B	466						in'									
B	467						But									
B	468						the									
B	469						brok-									
B	470						en									
B	471						heart									
B	472						it									
B	473						kens									
B	474						nae									
B	475															
B	476						sec-									
B	477						ond									
B	478						spring									
B	479						Tho'									
B	480						the									
B	481						wae-									
B	482						fu'									
B	483						may									
B	484						ceas									
B	485						frae									
B	486															
B	487						their									
B	488						greet-									
B	489						in'									
B	490						Oh!									
B	491						Ye'll									
B	492						tak'									
B	493						the									
B	494						high									
B	495						road									
B	496						and									
B	497						I'll									
B	498						tak'									
B	499						the									
B	500						low									
B	501						road									
B	502						an'									
B	503						I'll									
B	504						be									
B	505						in									
B	506						Scot									
B	507						land									
B	508						a									
B	509						fore									
B	510															
B	511						ye;									
B	512						but									
B	513						me									
B	514						and									
B	515						my									
B	516						true 									
B	517						love									
B	518						we'll									
B	519						nev-									
B	520						er									
B	521						meet									
B	522						a-									
B	523						gain									
B	524						on									
B	525						the									
B	526						bon-									
B	527						nie									
B	528						bon-									
B	529						nie									
B	530						banks									
B	531						o'									
B	532						Loch									
B	533						Lo-									
B	534						mond									
B	535							By								
B	536							yon								
B	537							bon-								
B	538							nie								
B	539							banks								
B	540							and								
B	541							by								
B	542							yon								
B	543							bon-								
B	544							nie								
B	545							breas								
B	546							Where								
B	547							the								
B	548							sun								
B	549							shines								
B	550							bright								
B	551							on								
B	552							Loch								
B	553							Lo-								
B	554															
B	555							mond								
B	556							Where								
B	557							me								
B	558							and								
B	559							my								
B	560							true 								
B	561							love								
B	562							were								
B	563							ev-								
B	564							er								
B	565							want								
B	566							to								
B	567							gae								
B	568							On								
B	569							the								
B	570							bon-								
B	571							nie								
B	572							bon-								
B	573							nie								
B	574							banks								
B	575							o'								
B	576							Loch								
B	577							Lo-								
B	578							mond								
B	579							Oh!								
B	580							Ye'll								
B	581							tak'								
B	582							the								
B	583							high								
B	584							road								
B	585							and								
B	586							I'll								
B	587							tak'								
B	588							the								
B	589							low								
B	590							road								
B	591							an'								
B	592							I'll								
B	593							be								
B	594							in								
B	595							Scot								
B	596							land								
B	597							a								
B	598							fore								
B	599							ye;								
B	600							but								
B	601							me								
B	602							and								
B	603							my								
B	604							true 								
B	605							love								
B	606							we'll								
B	607							nev-								
B	608							er								
B	609							meet								
B	610							a-								
B	611							gain								
B	612							on								
B	613							the								
B	614							bon-								
B	615							nie								
B	616							bon-								
B	617							nie								
B	618							banks								
B	619							o'								
B	620							Loch								
B	621							Lo-								
B	622							mond								
B	623							Twas								
B	624							there								
B	625							that								
B	626							we								
B	627							part-								
B	628							ed								
B	629							in								
B	630							yon								
B	631							sha-								
B	632							dy								
B	633							glen								
B	634							On								
B	635							there								
B	636							steep								
B	637							steep								
B	638							side								
B	639							o'								
B	640							Ben								
B	641							Lo-								
B	642															
B	643							mond								
B	644							Where								
B	645							in								
B	646							pur-								
B	647							ple								
B	648							hue								
B	649															
B	650							the								
B	651							high-								
B	652							land								
B	653							hills								
B	654							we								
B	655							view								
B	656							And								
B	657							the								
B	658							moon								
B	659															
B	660							com-								
B	661							ing								
B	662							out								
B	663							in								
B	664							the								
B	665							gloam-								
B	666							ing								
B	667							Oh!								
B	668							Ye'll								
B	669							tak'								
B	670							the								
B	671							high								
B	672							road								
B	673							and								
B	674							I'll								
B	675							tak'								
B	676							the								
B	677							low								
B	678							road								
B	679							an'								
B	680							I'll								
B	681							be								
B	682							in								
B	683							Scot								
B	684							land								
B	685							a								
B	686							fore								
B	687							ye;								
B	688							but								
B	689							me								
B	690							and								
B	691							my								
B	692							true 								
B	693							love								
B	694							we'll								
B	695							nev-								
B	696							er								
B	697							meet								
B	698							a-								
B	699							gain								
B	700							on								
B	701							the								
B	702							bon-								
B	703							nie								
B	704							bon-								
B	705							nie								
B	706							banks								
B	707							o'								
B	708							Loch								
B	709							Lo-								
B	710							mond								
B	711							The								
B	712							wee								
B	713							bird-								
B	714							ies								
B	715							sing								
B	716							and								
B	717							the								
B	718							wild								
B	719							flo-								
B	720							rs								
B	721							spring								
B	722							And								
B	723							in								
B	724							sun-								
B	725							shine								
B	726							the wat-								
B	727							ers								
B	728							are								
B	729							sleep-								
B	730															
B	731							in'								
B	732							But								
B	733							the								
B	734							brok-								
B	735							en								
B	736							heart								
B	737							it								
B	738							kens								
B	739							nae								
B	740															
B	741							sec-								
B	742							ond								
B	743							spring								
B	744							Tho'								
B	745							the								
B	746							wae-								
B	747							fu'								
B	748							may								
B	749							ceas								
B	750							frae								
B	751															
B	752							their								
B	753							greet-								
B	754							in'								
B	755							Oh!								
B	756							Ye'll								
B	757							tak'								
B	758							the								
B	759							high								
B	760							road								
B	761							and								
B	762							I'll								
B	763							tak'								
B	764							the								
B	765							low								
B	766							road								
B	767							an'								
B	768							I'll								
B	769							be								
B	770							in								
B	771							Scot								
B	772							land								
B	773							a								
B	774							fore								
B	775							ye;								
B	776							but								
B	777							me								
B	778							and								
B	779							my								
B	780							true 								
B	781							love								
B	782							we'll								
B	783							nev-								
B	784							er								
B	785							meet								
B	786							a-								
B	787							gain								
B	788							on								
B	789							the								
B	790							bon-								
B	791							nie								
B	792							bon-								
B	793							nie								
B	794							banks								
B	795							o'								
B	796							Loch								
B	797							Lo-								
B	798							mond								
B	799								By	By						
B	800								yon	yon						
B	801								bon-	bon-						
B	802								nie	nie						
B	803								banks	banks						
B	804								and	and						
B	805								by	by						
B	806								yon	yon						
B	807								bon-	bon-						
B	808								nie	nie						
B	809								breas	breas						
B	810								Where	Where						
B	811								the	the						
B	812								sun	sun						
B	813								shines	shines						
B	814								bright	bright						
B	815								on	on						
B	816								Loch	Loch						
B	817								Lo-	Lo-						
B	818															
B	819								mond	mond						
B	820								Where	Where						
B	821								me	me						
B	822								and	and						
B	823								my	my						
B	824								true 	true 						
B	825								love	love						
B	826								were	were						
B	827								ev-	ev-						
B	828								er	er						
B	829								want	want						
B	830								to	to						
B	831								gae	gae						
B	832								On	On						
B	833								the	the						
B	834								bon-	bon-						
B	835								nie	nie						
B	836								bon-	bon-						
B	837								nie	nie						
B	838								banks	banks						
B	839								o'	o'						
B	840								Loch	Loch						
B	841								Lo-	Lo-						
B	842								mond	mond						
B	843								Oh!	Oh!						
B	844								Ye'll	Ye'll						
B	845								tak'	tak'						
B	846								the	the						
B	847								high	high						
B	848								road	road						
B	849								and	and						
B	850								I'll	I'll						
B	851								tak'	tak'						
B	852								the	the						
B	853								low	low						
B	854								road	road						
B	855								an'	an'						
B	856								I'll	I'll						
B	857								be	be						
B	858								in	in						
B	859								Scot	Scot						
B	860								land	land						
B	861								a	a						
B	862								fore	fore						
B	863															
B	864								ye;	ye;						
B	865								but	but						
B	866								me	me						
B	867								and	and						
B	868								my	my						
B	869								true 	true 						
B	870								love	love						
B	871								we'll	we'll						
B	872								nev-	nev-						
B	873								er	er						
B	874								meet	meet						
B	875								a-	a-						
B	876								gain	gain						
B	877								on	on						
B	878								the	the						
B	879								bon-	bon-						
B	880								nie	nie						
B	881								bon-	bon-						
B	882								nie	nie						
B	883								banks	banks						
B	884								o'	o'						
B	885								Loch	Loch						
B	886								Lo-	Lo-						
B	887								mond	mond						
B	888								Twas	Twas						
B	889								there	there						
B	890								that	that						
B	891								we	we						
B	892								part-	part-						
B	893								ed	ed						
B	894								in	in						
B	895								yon	yon						
B	896								sha-	sha-						
B	897								dy	dy						
B	898								glen	glen						
B	899								On	On						
B	900								there	there						
B	901								steep	steep						
B	902								steep	steep						
B	903								side	side						
B	904								o'	o'						
B	905								Ben	Ben						
B	906								Lo-	Lo-						
B	907															
B	908								mond	mond						
B	909								Where	Where						
B	910								in	in						
B	911								pur-	pur-						
B	912								ple	ple						
B	913								hue	hue						
B	914															
B	915								the	the						
B	916								high-	high-						
B	917								land	land						
B	918								hills	hills						
B	919								we	we						
B	920								view	view						
B	921								And	And						
B	922								the	the						
B	923								moon	moon						
B	924															
B	925								com-	com-						
B	926								ing	ing						
B	927								out	out						
B	928								in	in						
B	929								the	the						
B	930								gloam-	gloam-						
B	931								ing	ing						
B	932								Oh!	Oh!						
B	933								Ye'll	Ye'll						
B	934								tak'	tak'						
B	935								the	the						
B	936								high	high						
B	937								road	road						
B	938								and	and						
B	939								I'll	I'll						
B	940								tak'	tak'						
B	941								the	the						
B	942								low	low						
B	943								road	road						
B	944								an'	an'						
B	945								I'll	I'll						
B	946								be	be						
B	947								in	in						
B	948								Scot	Scot						
B	949								land	land						
B	950								a	a						
B	951								fore	fore						
B	952															
B	953								ye;	ye;						
B	954								but	but						
B	955								me	me						
B	956								and	and						
B	957								my	my						
B	958								true 	true 						
B	959								love	love						
B	960								we'll	we'll						
B	961								nev-	nev-						
B	962								er	er						
B	963								meet	meet						
B	964								a-	a-						
B	965								gain	gain						
B	966								on	on						
B	967								the	the						
B	968								bon-	bon-						
B	969								nie	nie						
B	970								bon-	bon-						
B	971								nie	nie						
B	972								banks	banks						
B	973								o'	o'						
B	974								Loch	Loch						
B	975								Lo-	Lo-						
B	976								mond	mond						
B	977								The	The						
B	978								wee	wee						
B	979								bird-	bird-						
B	980								ies	ies						
B	981								sing	sing						
B	982								and	and						
B	983								the	the						
B	984								wild	wild						
B	985								flo-	flo-						
B	986								rs	rs						
B	987								spring	spring						
B	988								And	And						
B	989								in	in						
B	990								sun-	sun-						
B	991								shine	shine						
B	992								the wat-	the wat-						
B	993								ers	ers						
B	994								are	are						
B	995								sleep-	sleep-						
B	996															
B	997								in'	in'						
B	998								But	But						
B	999								the	the						
B	1000								brok-	brok-						
B	1001								en	en						
B	1002								heart	heart						
B	1003								it	it						
B	1004								kens	kens						
B	1005								nae	nae						
B	1006															
B	1007								sec-	sec-						
B	1008								ond	ond						
B	1009								spring	spring						
B	1010								Tho'	Tho'						
B	1011								the	the						
B	1012								wae-	wae-						
B	1013								fu'	fu'						
B	1014								may	may						
B	1015								ceas	ceas						
B	1016								frae	frae						
B	1017															
B	1018								their	their						
B	1019								greet-	greet-						
B	1020								in'	in'						
B	1021								Oh!	Oh!						
B	1022								Ye'll	Ye'll						
B	1023								tak'	tak'						
B	1024								the	the						
B	1025								high	high						
B	1026								road	road						
B	1027								and	and						
B	1028								I'll	I'll						
B	1029								tak'	tak'						
B	1030								the	the						
B	1031								low	low						
B	1032								road	road						
B	1033								an'	an'						
B	1034								I'll	I'll						
B	1035								be	be						
B	1036								in	in						
B	1037								Scot	Scot						
B	1038								land	land						
B	1039								a	a						
B	1040								fore	fore						
B	1041															
B	1042								ye;	ye;						
B	1043								but	but						
B	1044								me	me						
B	1045								and	and						
B	1046								my	my						
B	1047								true 	true 						
B	1048								love	love						
B	1049								we'll	we'll						
B	1050								nev-	nev-						
B	1051								er	er						
B	1052								meet	meet						
B	1053								a-	a-						
B	1054								gain	gain						
B	1055								on	on						
B	1056								the	the						
B	1057								bon-	bon-						
B	1058								nie	nie						
B	1059								bon-	bon-						
B	1060								nie	nie						
B	1061								banks	banks						
B	1062								o'	o'						
B	1063								Loch	Loch						
B	1064								Lo-	Lo-						
B	1065								mond	mond						