A	CreditItems	CreditContents					
A	Title	"Prelude and Fugue in C major, BWV 846"					
A	Music by	Johann Sebastian Bach					
A	Music source	"https://imslp.org/wiki/Prelude_and_Fugue_in_C_major,_BWV_846_(Bach,_Johann_Sebastian)#194154"					
A	Music license	Creative Commons Attribution-ShareAlike 4.0					
A	Music license URI	https://imslp.org/wiki/IMSLP:Creative_Commons_Attribution-ShareAlike_4.0					
A	Music change	Changed bpm to 60.					
A	Disclaimer	No warranties are given.					
A	CreditItems	CreditContents					
B	NoteID	Finger Number	Memo	Left	Right		
B	1	3					
B	2	1					
B	3	1					
B	4	2					
B	5	4					
B	6	1					
B	7	2					
B	8	4					
B	9	3					
B	10	1					
B	11	1					
B	12	2					
B	13	4					
B	14	1					
B	15	2					
B	16	4					
B	17	2					
B	18	1					
B	19	1					
B	20	3					
B	21	5					
B	22	1					
B	23	3					
B	24	5					
B	25	2					
B	26	1					
B	27	1					
B	28	3					
B	29	5					
B	30	1					
B	31	3					
B	32	5					
B	33	2					
B	34	1					
B	35	1					
B	36	3					
B	37	5					
B	38	1					
B	39	3					
B	40	5					
B	41	2					
B	42	1					
B	43	1					
B	44	3					
B	45	5					
B	46	1					
B	47	3					
B	48	5					
B	49	3					
B	50	1					
B	51	1					
B	52	3					
B	53	5					
B	54	1					
B	55	3					
B	56	5					
B	57	3					
B	58	1					
B	59	1					
B	60	3					
B	61	5					
B	62	1					
B	63	3					
B	64	5					
B	65	3					
B	66	1					
B	67	1					
B	68	3					
B	69	5					
B	70	1					
B	71	3					
B	72	5					
B	73	3					
B	74	1					
B	75	1					
B	76	3					
B	77	5					
B	78	1					
B	79	3					
B	80	5					
B	81	2					
B	82	1					
B	83	2					
B	84	3					
B	85	5					
B	86	2					
B	87	3					
B	88	5					
B	89	2					
B	90	1					
B	91	2					
B	92	3					
B	93	5					
B	94	2					
B	95	3					
B	96	5					
B	97	3					
B	98	1					
B	99	1					
B	100	3					
B	101	5					
B	102	1					
B	103	3					
B	104	5					
B	105	3					
B	106	1					
B	107	1					
B	108	3					
B	109	5					
B	110	1					
B	111	3					
B	112	5					
B	113	3					
B	114	2					
B	115	1					
B	116	3					
B	117	5					
B	118	1					
B	119	3					
B	120	5					
B	121	3					
B	122	2					
B	123	1					
B	124	3					
B	125	5					
B	126	1					
B	127	3					
B	128	5					
B	129	3					
B	130	1					
B	131	1					
B	132	3					
B	133	5					
B	134	1					
B	135	3					
B	136	5					
B	137	3					
B	138	1					
B	139	1					
B	140	3					
B	141	5					
B	142	1					
B	143	3					
B	144	5					
B	145	5					
B	146	2					
B	147	1					
B	148	2					
B	149	5					
B	150	1					
B	151	2					
B	152	5					
B	153	5					
B	154	2					
B	155	1					
B	156	2					
B	157	5					
B	158	1					
B	159	2					
B	160	5					
B	161	3					
B	162	1					
B	163	1					
B	164	3					
B	165	5					
B	166	1					
B	167	3					
B	168	5					
B	169	3					
B	170	1					
B	171	1					
B	172	3					
B	173	5					
B	174	1					
B	175	3					
B	176	5					
B	177	3					
B	178	2					
B	179	1					
B	180	2					
B	181	5					
B	182	1					
B	183	2					
B	184	5					
B	185	3					
B	186	2					
B	187	1					
B	188	2					
B	189	5					
B	190	1					
B	191	2					
B	192	5					
B	193	4					
B	194	1					
B	195	1					
B	196	2					
B	197	5					
B	198	1					
B	199	2					
B	200	5					
B	201	3					
B	202	1					
B	203	1					
B	204	2					
B	205	5					
B	206	1					
B	207	2					
B	208	5					
B	209	3					
B	210	2					
B	211	1					
B	212	2					
B	213	5					
B	214	1					
B	215	2					
B	216	5					
B	217	3					
B	218	2					
B	219	1					
B	220	2					
B	221	5					
B	222	1					
B	223	2					
B	224	5					
B	225	4					
B	226	1					
B	227	1					
B	228	2					
B	229	5					
B	230	1					
B	231	2					
B	232	5					
B	233	3					
B	234	1					
B	235	1					
B	236	2					
B	237	5					
B	238	1					
B	239	2					
B	240	5					
B	241	2					
B	242	1					
B	243	1					
B	244	2					
B	245	5					
B	246	1					
B	247	2					
B	248	5					
B	249	2					
B	250	1					
B	251	1					
B	252	2					
B	253	5					
B	254	1					
B	255	2					
B	256	5					
B	257	3					
B	258	1					
B	259	1					
B	260	2					
B	261	5					
B	262	1					
B	263	2					
B	264	5					
B	265	3					
B	266	1					
B	267	1					
B	268	2					
B	269	5					
B	270	1					
B	271	2					
B	272	5					
B	273	5					
B	274	2					
B	275	1					
B	276	2					
B	277	5					
B	278	1					
B	279	2					
B	280	5					
B	281	5					
B	282	2					
B	283	1					
B	284	2					
B	285	5					
B	286	1					
B	287	2					
B	288	5					
B	289	3					
B	290	1					
B	291	1					
B	292	2					
B	293	5					
B	294	1					
B	295	2					
B	296	5					
B	297	3					
B	298	1					
B	299	1					
B	300	2					
B	301	5					
B	302	1					
B	303	2					
B	304	5					
B	305	3					
B	306	1					
B	307	1					
B	308	2					
B	309	4					
B	310	1					
B	311	2					
B	312	4					
B	313	3					
B	314	1					
B	315	1					
B	316	2					
B	317	4					
B	318	1					
B	319	2					
B	320	4					
B	321	5					
B	322	1					
B	323	1					
B	324	3					
B	325	5					
B	326	1					
B	327	3					
B	328	5					
B	329	5					
B	330	1					
B	331	1					
B	332	3					
B	333	5					
B	334	1					
B	335	3					
B	336	5					
B	337	4					
B	338	1					
B	339	1					
B	340	2					
B	341	4					
B	342	1					
B	343	2					
B	344	4					
B	345	4					
B	346	1					
B	347	1					
B	348	2					
B	349	4					
B	350	1					
B	351	2					
B	352	4					
B	353	5					
B	354	1					
B	355	1					
B	356	2					
B	357	3					
B	358	1					
B	359	2					
B	360	3					
B	361	5					
B	362	1					
B	363	1					
B	364	2					
B	365	3					
B	366	1					
B	367	2					
B	368	3					
B	369	4					
B	370	1					
B	371	1					
B	372	2					
B	373	4					
B	374	1					
B	375	2					
B	376	4					
B	377	4					
B	378	1					
B	379	1					
B	380	2					
B	381	4					
B	382	1					
B	383	2					
B	384	4					
B	385	5					
B	386	1					
B	387	1					
B	388	2					
B	389	5					
B	390	1					
B	391	2					
B	392	5					
B	393	5					
B	394	1					
B	395	1					
B	396	2					
B	397	5					
B	398	1					
B	399	2					
B	400	5					
B	401	5					
B	402	2					
B	403	1					
B	404	2					
B	405	5					
B	406	1					
B	407	2					
B	408	5					
B	409	5					
B	410	2					
B	411	1					
B	412	2					
B	413	5					
B	414	1					
B	415	2					
B	416	5					
B	417	5					
B	418	2					
B	419	1					
B	420	3					
B	421	5					
B	422	1					
B	423	3					
B	424	5					
B	425	5					
B	426	2					
B	427	1					
B	428	3					
B	429	5					
B	430	1					
B	431	3					
B	432	5					
B	433	5					
B	434	2					
B	435	1					
B	436	2					
B	437	5					
B	438	1					
B	439	2					
B	440	5					
B	441	5					
B	442	2					
B	443	1					
B	444	2					
B	445	5					
B	446	1					
B	447	2					
B	448	5					
B	449	5					
B	450	1					
B	451	1					
B	452	2					
B	453	5					
B	454	1					
B	455	2					
B	456	5					
B	457	5					
B	458	1					
B	459	1					
B	460	2					
B	461	5					
B	462	1					
B	463	2					
B	464	5					
B	465	5					
B	466	2					
B	467	1					
B	468	2					
B	469	5					
B	470	1					
B	471	2					
B	472	5					
B	473	5					
B	474	2					
B	475	1					
B	476	2					
B	477	5					
B	478	1					
B	479	2					
B	480	5					
B	481	5					
B	482	2					
B	483	1					
B	484	2					
B	485	5					
B	486	1					
B	487	2					
B	488	5					
B	489	5					
B	490	2					
B	491	1					
B	492	2					
B	493	5					
B	494	1					
B	495	2					
B	496	5					
B	497	5					
B	498	1					
B	499	1					
B	500	2					
B	501	5					
B	502	1					
B	503	2					
B	504	5					
B	505	5					
B	506	1					
B	507	1					
B	508	2					
B	509	5					
B	510	1					
B	511	2					
B	512	5					
B	513	5					
B	514	1					
B	515	1					
B	516	2					
B	517	3					
B	518	5					
B	519	3					
B	520	2					
B	521	4					
B	522	2					
B	523	1					
B	524	4					
B	525	2					
B	526	1					
B	527	4					
B	528	2					
B	529	5					
B	530	1					
B	531	1					
B	532	2					
B	533	3					
B	534	5					
B	535	3					
B	536	1					
B	537	4					
B	538	2					
B	539	1					
B	540	5					
B	541	1					
B	542	3					
B	543	2					
B	544	1					
B	545	2					
B	546	3					
B	547	5					
B	548	1					
B	549	5					